feature,scores,log2FoldChange,pvalue,padj,symbol
ENSG00000233927,7.6997185,0.33489117,1.3636634533984514e-14,4.862583228327101e-12,RPS28
ENSG00000172183,7.6987157,1.3569266,1.3744084320353033e-14,4.872237704184096e-12,ISG20
ENSG00000151012,7.68367,1.6043415,1.5459424762743198e-14,5.448458544725174e-12,SLC7A11
ENSG00000109062,-7.6757464,-0.6223506,1.644580910592621e-14,5.762592498220467e-12,NHERF1
ENSG00000166582,-7.653981,-0.4780678,1.9485087311723734e-14,6.788313262927477e-12,CENPV
ENSG00000174780,7.6423464,0.6879562,2.1329871694572056e-14,7.388545670018648e-12,SRP72
ENSG00000142657,-7.6403403,-0.448583,2.166485677426638e-14,7.41978504406358e-12,PGD
ENSG00000166451,-7.6408415,-0.53213614,2.1580628505897772e-14,7.41978504406358e-12,CENPN
ENSG00000112118,-7.6044326,-0.7600281,2.8615707307613854e-14,9.745255962248563e-12,MCM3
ENSG00000167900,-7.6032286,-0.87002665,2.8883228148137935e-14,9.781410095597618e-12,TK1
ENSG00000170515,-7.5978127,-0.38108855,3.011782968855293e-14,1.014284843272439e-11,PA2G4
ENSG00000177971,-7.554683,-0.45929503,4.198812500345608e-14,1.4062310218698917e-11,IMP3
ENSG00000125835,-7.5322156,-0.3379589,4.9886522224447554e-14,1.6615775223757067e-11,SNRPB
ENSG00000067064,-7.518173,-0.56198597,5.554681338885666e-14,1.82999580479299e-11,IDI1
ENSG00000087074,7.518374,1.0769068,5.5461670172766483e-14,1.82999580479299e-11,PPP1R15A
ENSG00000198830,-7.507742,-0.51969063,6.01558882920631e-14,1.9711296175008506e-11,HMGN2
ENSG00000135744,-7.4904904,-0.71049476,6.86168219035899e-14,2.224322527793431e-11,AGT
ENSG00000115875,-7.4908915,-0.42708522,6.840737359821632e-14,2.224322527793431e-11,SRSF7
ENSG00000137154,7.487481,0.23238012,7.02079069142504e-14,2.2637942070398647e-11,RPS6
ENSG00000153879,7.4774513,0.62856835,7.57779480515859e-14,2.430467424835495e-11,CEBPG
ENSG00000161547,-7.471433,-0.4895881,7.93261356388629e-14,2.5253178335354364e-11,SRSF2
ENSG00000110958,-7.4710317,-0.3831127,7.95684036696858e-14,2.5253178335354364e-11,PTGES3
ENSG00000069998,-7.4599986,-0.6572263,8.652333231675151e-14,2.7317488967235208e-11,HDHD5
ENSG00000163950,-7.4385343,-0.5925626,1.0180857746128522e-13,3.1976860917749476e-11,SLBP
ENSG00000171105,7.4206805,0.8575711,1.1651995999374038e-13,3.6408883787940975e-11,INSR
