"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","PlotGene","Regulation","minusLog10Padj"
"201501",9.43169908396963,-3.15021386222461,0.611711168051148,-5.1498387257844,2.60710536265094e-07,4.7951628999962e-06,"201501","Down",5.3191966345063
"322",411.657400139594,-1.10498877570283,0.215349416272773,-5.13114358435594,2.87987115822922e-07,5.24196237246593e-06,"322","Down",5.28050610080435
"84448",13.5909467612342,-1.31591576324506,0.257329482501743,-5.11373881629033,3.15843997109821e-07,5.69735538817356e-06,"84448","Down",5.24432668938853
"8463",14.3760453349462,-2.22391694070899,0.435073382419754,-5.11159043639996,3.19457827529653e-07,5.73406962396818e-06,"8463","Down",5.24153703808615
"9651",226.544920084736,-1.59566676038259,0.312309424749086,-5.10924946201854,3.23441069912799e-07,5.7971861153248e-06,"9651","Down",5.23678275663094
"55600",6.09547844297614,-2.77653773293724,0.543669500554327,-5.1070323608484,3.27257720096332e-07,5.85812163413204e-06,"55600","Down",5.23224161515972
"3897",17.6144093717826,-1.54587576878347,0.303557550485788,-5.09252946042549,3.53317792493826e-07,6.24505864166445e-06,"3897","Down",5.20446347920631
"57447",143.377732893475,-1.07922494257797,0.212409835478529,-5.08086144008647,3.75727109203139e-07,6.59964667315314e-06,"57447","Down",5.18047931476228
"8631",751.35833032244,-1.03769353833595,0.204380644995039,-5.07725933813908,3.82918056696949e-07,6.70918270910914e-06,"8631","Down",5.17333038095504
"2043",138.302250139536,-1.61357243983706,0.317841152222423,-5.07666307070235,3.84121138030367e-07,6.71853392613624e-06,"2043","Down",5.17272548546598
"9249",161.86807732843,-1.2147283055263,0.23928360918703,-5.07652116103295,3.84408004313516e-07,6.71853392613624e-06,"9249","Down",5.17272548546598
"113146",32.2102989570673,-1.85432469344768,0.365828612559233,-5.06883450278903,4.00259058821356e-07,6.98544897132534e-06,"113146","Down",5.15580567551932
"92211",43.3770861746447,-1.69476192059789,0.334692761792517,-5.06363481397458,4.11337256087989e-07,7.14476034925639e-06,"92211","Down",5.14601233380668
"5376",12.063833845745,-1.69883743798347,0.336690220476336,-5.04569878976592,4.51866801481227e-07,7.78141212550759e-06,"5376","Down",5.10894158261632
"79026",24910.6345713797,-1.05635626156749,0.209833019065105,-5.03427089918452,4.79670951075118e-07,8.18995893621817e-06,"79026","Down",5.08671827575101
"129049",47.5556110121392,-1.32306059873186,0.262824317716687,-5.03401135110361,4.80321211416599e-07,8.19110881410929e-06,"129049","Down",5.08665730467984
"158586",357.186732769294,-1.10407781371353,0.219833306419987,-5.02234093501834,5.10454679176073e-07,8.58003487055285e-06,"158586","Down",5.06651094710958
"8433",16.4095512353214,-2.24285290043311,0.446853212591773,-5.01921623753009,5.18827222684718e-07,8.67923825376864e-06,"8433","Down",5.06151838965093
"8445",1362.54366814431,-1.0371170315605,0.206893175159918,-5.01281412863842,5.36397062018018e-07,8.8885041456099e-06,"8445","Down",5.05117132069105
"23089",59.5970853848701,-1.62602851117108,0.324935675144835,-5.00415508529896,5.61075740875104e-07,9.25379848682742e-06,"23089","Down",5.03367996204509
"7089",102.665808908151,-1.35068251038133,0.270157809373611,-4.99960565090836,5.74476873476161e-07,9.43054792767174e-06,"7089","Down",5.02546307342903
"6461",22.6319607262781,-1.09361326622208,0.219089592760301,-4.99162581135733,5.98731631472457e-07,9.70401024850168e-06,"6461","Down",5.01304875347852
"9781",322.248465829345,-1.0756504926292,0.215785601521508,-4.98481124340442,6.20223314913825e-07,9.98325088335518e-06,"9781","Down",5.00072801474409
"7789",137.668011153299,-1.01284460693623,0.20327441453993,-4.9826467793726,6.27203805504317e-07,1.00725347142248e-05,"7789","Down",4.99686122717411
"694",9968.55186030872,-1.05943039903717,0.213147989147203,-4.97039828185063,6.68155074170169e-07,1.066922170709e-05,"694","Down",4.97186726011107
"55561",75.2197541557,-1.17606474174309,0.237085207079207,-4.9605150664258,7.03065076756533e-07,1.11616541538807e-05,"55561","Down",4.95227143831355
"10090",93.4239613445221,-1.17095736538318,0.236257986841174,-4.95626573746421,7.18609164242093e-07,1.13587131337794e-05,"10090","Down",4.94467086849789
"6352",13890.7154458627,-1.62023564090445,0.327167126629792,-4.95231797153579,7.33346445689232e-07,1.15397360076429e-05,"6352","Down",4.93780412633933
"64919",1201.5262963572,-1.13233766426852,0.228868187711773,-4.9475537670379,7.5151949070112e-07,1.18124741424297e-05,"64919","Down",4.92765912915463
"100996741",316.160944431758,-1.05179663930819,0.212608301240099,-4.9471099349051,7.53234407059605e-07,1.18188935801252e-05,"100996741","Down",4.92742317781492
"128611",682.169387461927,-1.12112014174619,0.227109114372784,-4.93648238135414,7.95442197427855e-07,1.23919664725679e-05,"128611","Down",4.90685977026487
"9231",142.410028183794,-1.57277788944891,0.318660724829123,-4.93558749761925,7.99098447488997e-07,1.24351399602607e-05,"9231","Down",4.90534932228574
"3115",6745.95936532308,-1.20234442405298,0.244008064275225,-4.92747822750979,8.32977021495222e-07,1.28767800946654e-05,"3115","Down",4.89019272097787
"389",1212.09569904487,-1.45269305844295,0.294922084592389,-4.92568422080264,8.40656660559574e-07,1.29527493357271e-05,"389","Down",4.88763803894911
"107984832",9.28357908272818,-2.00596744349308,0.407339872246997,-4.92455460455571,8.4552716638759e-07,1.29791864586603e-05,"107984832","Down",4.88675252845918
"54084",2.94625774952602,-5.0992504043202,1.03550068683549,-4.92442976537621,8.46067093376947e-07,1.29791864586603e-05,"54084","Down",4.88675252845918
"90525",17.3334761201837,-1.28878007551171,0.262111096744835,-4.91692298234264,8.79151191138807e-07,1.34280788455245e-05,"90525","Down",4.87198611737371
"100128108",43.4768617076763,-1.00846104227464,0.20519004313213,-4.9147659744155,8.88885749492027e-07,1.35473129629739e-05,"100128108","Down",4.86814683623431
"400961",75.9794324811107,-1.02793230139907,0.209385922574728,-4.90927130515287,9.14154365151316e-07,1.38722431307843e-05,"400961","Down",4.85785330817289
"56971",13.0358533782654,-2.02941307172682,0.413511101046073,-4.90775958999153,9.21226796585327e-07,1.39494385189839e-05,"56971","Down",4.85544327289322
"23641",102.855827043254,-1.66494490612167,0.340207825940766,-4.89390536951245,9.88543856868477e-07,1.47776790177828e-05,"23641","Down",4.83039377087508
"3581",70.4778265187863,-1.43335678087811,0.293374157492922,-4.88576360347176,1.03028757372627e-06,1.5365937567471e-05,"3581","Down",4.8134409357033
"1269",135.031629640295,-1.26920790174807,0.261535618258548,-4.85290649969275,1.21665060807632e-06,1.77164500981227e-05,"1269","Down",4.7516232947088
"643",398.530349671265,-1.65335037225084,0.340848075359502,-4.85069593104496,1.23029032729486e-06,1.78411142199663e-05,"643","Down",4.74857802639082
"81558",2306.80801299029,-1.03155301513626,0.212996561146457,-4.84305009237666,1.27861037446145e-06,1.84466457720045e-05,"81558","Down",4.73408259184326
"26030",1227.32463589938,-1.64175210134214,0.33924917285493,-4.83936950391384,1.30251682603673e-06,1.8714689610908e-05,"26030","Down",4.72781737140223
"5079",1620.23552112435,-1.34257059167508,0.277424331337235,-4.83941183242165,1.30223946251745e-06,1.8714689610908e-05,"5079","Down",4.72781737140223
"2624",426.66342024729,-1.88866242557118,0.39155705820749,-4.82346668507853,1.41084341140996e-06,1.99649260998316e-05,"2624","Down",4.69973229300757
"21",143.188076944464,-1.12760750228384,0.233901961538444,-4.820855262894,1.42944044847026e-06,2.01469379958917e-05,"21","Down",4.69579095014508
"5097",104.209029392817,-2.1813545878566,0.453331669784327,-4.81182924831698,1.49555104917951e-06,2.09944888542162e-05,"5097","Down",4.67789469451952
