SYM,lfc,padj,dir
AC005160.3,0.02546218812849225,0.6548998822125052,ns
AC005162.4,0.0,1.0,ns
AC005162.5,0.0,1.0,ns
AC005176.2,0.0,1.0,ns
AC005178.1,0.0,1.0,ns
AC005189.6,0.21265689388481157,0.6219720858893132,ns
AC005197.2,0.021430254555943235,0.5124318089847849,ns
AC005220.3,-0.06602379332886667,0.27815735398319946,ns
AC005224.2,0.07797404936423463,0.6208111571386364,ns
AC005229.5,-0.024391270484583154,0.6431249297781559,ns
AC005229.7,0.015925056488419742,1.0,ns
AC005237.4,0.10572263095342804,0.25197938379291007,ns
AC005253.2,0.0037826781162371304,1.0,ns
AC005253.4,0.029178829980992027,0.44082803510590746,ns
AC005256.1,0.0,1.0,ns
AC005262.2,0.0004259126028242667,1.0,ns
AC005262.3,0.04986519228088922,0.6507212267555185,ns
AC005262.4,0.02296624382659681,1.0,ns
AC005264.2,0.00808748669431754,0.10596031717929622,ns
AC005276.1,0.0,1.0,ns
AC005281.1,0.004271304552731226,0.6211860772957957,ns
AC005281.2,0.0,1.0,ns
AC005300.5,0.010489893886707966,0.6208111571386364,ns
AC005301.9,0.12500585251820473,0.40742626986624403,ns
AC005304.1,-0.07719191307066406,0.24736060035994184,ns
AC005306.3,0.4432842197823139,0.07210561378863094,ns
AC005307.1,0.0,1.0,ns
AC005307.3,0.0,1.0,ns
AC005307.4,0.0,1.0,ns
AC005307.5,0.0,1.0,ns
AC005324.6,0.0,1.0,ns
AC005324.7,0.0,1.0,ns
AC005324.8,-0.0004042287694823732,1.0,ns
AC005329.7,0.016325840817944113,0.9955279243080606,ns
AC005330.2,0.007453385436426768,0.6208111571386364,ns
AC005336.4,0.07344921117564562,0.6511461716275705,ns
AC005336.5,0.0669239745972671,0.6208111571386364,ns
AC005339.2,-0.2245451175323736,0.24469360139978055,ns
AC005351.1,-0.09785681329724655,0.19000503302083055,ns
AC005355.1,0.006565362858947091,0.6208111571386364,ns
AC005355.3,0.06672590054015458,0.2935847236003279,ns
AC005357.1,0.0,1.0,ns
AC005358.3,0.0,1.0,ns
AC005363.9,-0.1636055552892608,0.6208111571386364,ns
AC005387.2,0.0,1.0,ns
AC005387.3,0.03011019361079125,0.6208111571386364,ns
AC005391.2,0.0,1.0,ns
AC005392.13,0.019072539645629497,0.609038867302918,ns
AC005394.1,0.0,1.0,ns
AC005481.5,0.0007457699419976382,1.0,ns
AC005487.2,0.11619016923083998,0.35611034211360704,ns
AC005488.11,0.0,1.0,ns
AC005498.3,-0.07482766834877455,0.618216095913211,ns
AC005498.4,0.0,1.0,ns
AC005517.3,-0.09929027133725159,0.5702593833381089,ns
AC005518.2,0.0,1.0,ns
AC005519.4,0.018121662569418495,1.0,ns
AC005522.6,0.0,1.0,ns
AC005522.7,0.0,1.0,ns
AC005523.2,0.025454330210735975,0.13985065860542784,ns
AC005523.3,0.05655113014721521,0.5798291329389105,ns
AC005532.5,0.08842335546973654,0.30156852614528395,ns
AC005534.6,-0.03625475563873061,0.7351514558558775,ns
AC005534.8,0.10370541235647607,0.5462715535051819,ns
AC005537.2,0.008064685565721047,0.609038867302918,ns
AC005538.3,-0.23002010696989827,0.011753403797834374,ns
AC005538.5,0.0,1.0,ns
AC005539.2,-0.008694972380081309,0.9830935278755509,ns
AC005540.3,0.11109863575658117,0.1308681088209144,ns
AC005546.2,-0.13894515841767652,0.6490288370852684,ns
AC005550.3,0.0,1.0,ns
AC005550.5,0.0,1.0,ns
AC005559.3,0.0,1.0,ns
AC005562.1,0.2453166255438397,0.002735548356473753,ns
AC005578.3,-0.027948469293144918,0.32862625108617116,ns
AC005592.2,-0.046868795025665703,0.6431249297781559,ns
AC005592.3,0.002860467825743699,0.6208111571386364,ns
AC005593.2,0.41526350466194556,0.19034177107835326,ns
AC005597.1,0.0,1.0,ns
AC005606.14,0.03334521965484764,0.5353378807557603,ns
AC005606.15,0.0,1.0,ns
AC005609.16,0.0,1.0,ns
AC005609.17,0.0,1.0,ns
AC005609.18,0.0,1.0,ns
AC005609.19,0.0,1.0,ns
AC005609.2,0.0,1.0,ns
AC005609.20,0.0,1.0,ns
AC005614.3,0.004468353012062177,0.6329427869223031,ns
AC005614.5,-0.5164943083511562,0.009454575958486283,ns
AC005616.1,0.0,1.0,ns
AC005616.2,0.0,1.0,ns
AC005618.6,0.003889808016623038,1.0,ns
AC005618.8,0.0,1.0,ns
AC005618.9,-0.028297321838385858,0.6563440872526587,ns
