symbol,rho_DENV,padj_DENV,rho_ZIKV,padj_ZIKV,direction,mean_abs_rho,in_DE_core
MRTO4,-0.24447393026392228,9.487081119538037e-13,-0.30768776347303484,4.962133559566288e-10,down_with_progression,0.27608084686847856,False
HSD17B2,-0.2602070309868283,2.204509647060205e-14,-0.290552226413134,5.4388776096834525e-09,down_with_progression,0.2753796286999811,False
YIPF4,0.21679590276835592,3.7356565236550793e-10,0.3334329746393101,9.975706444372781e-12,up_with_progression,0.275114438703833,False
CDC25A,-0.25420467166887184,9.395255696494722e-14,-0.2959153759648658,2.597271782039744e-09,down_with_progression,0.2750600238168688,False
LYSMD3,0.2465353548309958,5.917697219880636e-13,0.30214647021251906,1.0869159489912276e-09,up_with_progression,0.2743409125217574,False
PDCL3,-0.22015269217235697,1.9162210045030638e-10,-0.3280663188094179,2.3737901572946025e-11,down_with_progression,0.2741095054908874,False
SKA2,-0.20400160368444917,4.582676694003863e-09,-0.34330608831046633,1.9714809699146137e-12,down_with_progression,0.27365384599745773,False
RRM2,-0.28350143353183077,4.8698936657227504e-17,-0.2634081449400394,1.7122086179050734e-07,down_with_progression,0.2734547892359351,False
MTDH,0.3040361566823169,1.2905516642993496e-19,0.24209243945932254,1.948012541004227e-06,up_with_progression,0.2730642980708197,False
USO1,0.21737383137752897,3.323782555735916e-10,0.32755672981725287,2.5579703559885285e-11,up_with_progression,0.27246528059739095,False
PNRC1,0.2068310871500658,2.6608153574609715e-09,0.3379966620153691,4.7192397684435555e-12,up_with_progression,0.27241387458271743,False
UHRF1,-0.3358457119153586,4.6581491317512176e-24,-0.20854070522352083,5.613366725107976e-05,down_with_progression,0.27219320856943974,False
TBC1D15,0.24573301453074092,7.104395104701788e-13,0.29823355244116906,1.8731732813447345e-09,up_with_progression,0.271983283485955,False
PREB,0.21888881010547032,2.4443739132126375e-10,0.3239298031360253,4.445721508460442e-11,up_with_progression,0.2714093066207478,False
